nijiba 你几把
xiangjiade 想家的
nishenzi 你身子
dewuli 的屋里
haoshihaoshi 好事好事
konglaolao 空落落
jiajiama 加价吗
xiatuijian 瞎推荐
jiuxiezi 旧鞋子
jiaowoxia 教我下
hulihuli 护理护理
zheshide 这是的
buhaozheng 不好整
fandianle 饭点了
nichaole 你超了
pengyouqu 朋友区
tayeshi 他也是
chawomen 查我们
shuixiangnia 谁像你啊
techantechan 特馋特馋
dayizi 打一字
paonimei 泡你妹
henanyi 很安逸
yedasi 也大肆
mashangbanle 马上办了
qianhuiqu 迁回去
kelaoshi 柯老师
wocaonima 我操你妈
xiaosanle 消散了
zaibujian 再不见
wobuzhiao 我不知奥
yigedian 一个点
doudajia 逗大家
duodayao 多大腰
jijima 积极吗
yijingguan 已经关
daizheshi 呆着是
yaozhihou 要滞后
yizhuce 已注册
shuiwudengji 税务登记
deshiying 得适应
nimaba 你妈吧
shuoxiama 说下吗
yahuiqu 押回去
bianyizhidui 便一直对
zenmedong 怎么动
xianzanshi 先暂时
zailikai 再离开
chebushi 扯不是
liaotianqu 聊天去
gaosusha 告诉啥
yijiare 一加热
najianne 哪件呢
meifaying 没法赢
dounaci 都哪次
qibushang 骑不上
dengdengshui 等等睡
baozhaopian 爆照片
huidali 会打理
xiangjiba 相机吧
dadezenmeyang 打得怎么样
yizhidaizhe 一直带着
wozhezhen 我这真
nizenmebudong 你怎么不动
liuguole 流过了
querenzai 确认在
ershine 二十呢
zaiyebuhe 再也不和
dajigedianhua 打几个电话
tianyinle 天阴了
wotongtong 我通通
liuganma 流感吗
laidazhanfu 来打战服
niyouxiao 你又笑
kuaimakuaima 快嘛快嘛
biwubiwu 笔误笔误
hehuanwuqi 何患无妻
gengxinni 更信你
buchengyi 不诚意
zahaizi 咱孩子
xiazhaowole 吓找我了
jiumeiyouma 就没有吗
henwojiu 恨我就
duoxiaohao 多消耗
yixiaoxiang 一小巷
haojuhua 好菊花
bilibang 臂力棒
nashenmema 那什么吗
changjiangxinwenhao 长江新闻号
nalitiantian 哪里天天
buguini 不归你
shuoleai 说了唉
shaoshaode 稍稍的
dasangshi 打丧尸
biangeiwo 便给我
zileide 子类的
yibeidao 已被盗
shizhili 是智力
keyihuodao 可以活到
kongqishi 空气是
xiarangni 瞎让你
chanzuihou 馋嘴猴
yanbaicai 腌白菜
yiqianxiaode 以前晓得
fenxisha 分析啥
aigemen 挨个门
nizaishuoxia 你再说下
wushishenme 无视什么
dashiliu 大石榴
jingyandi 经验低
qimima 其密码
shouxiamian 手下面
chongshixia 重试下
metingji 么停机
buhaoshuai 不好甩
daizuode 代做的
huodezhenlei 活得真累
moniba 模拟吧
nimeidaiyanjing 你没戴眼镜
qilaidewan 起来得晚
caizhule 踩住了
ainipishi 碍你屁事
xiaoyinwa 小淫娃
meishengqian 没省钱
zhaodedaoren 找得到人
yabaoli 亚暴力
maojinle 冒进了
dawenshen 大瘟神
shangcigan 上次干
diaoqile 掉漆了
qianzuihao 钱最好
wanxiede 晚些的
huilaidage 回来大哥
biangeshen 变个身
wodoubuhuida 我都不回答
yougongzuoshi 有工作室
zhegebulai 这个不赖
xianbaodao 先报到
meiyuzhe 没遇着
yiweinishui 以为你谁
nataidao 拿太刀
zhongtieshiju 中铁十局
wandeqilai 玩得起来
piangeini 偏给你
liwaibu 例外不
taqianzou 他欠揍
nidahaole 你打好了
juebugufu 绝不辜负
nidaiwoshua 你带我耍
doudazhang 都打仗
demengyou 的梦游
nazoumei 拿走没
bianbuliaole 变不了了
zhidaoxianzaiwo 知道现在我
shouhuye 守护夜
zhexiaba 这下把
neijiande 内奸的
liaolena 聊了那
youchuangzao 又创造
gaiyitiao 盖一条
goulianghao 够亮好
nimencheshang 你们车上
fangyuanle 放远了
jiuhuiche 就回车
bieenwo 别摁我
liwuwei 礼物为
madaolema 妈到了吗
yijingbuwan 已经补完
xianzaidasi 现在打死
daodiyongnage 到底用哪个
mofenle 抹粉了
banfalemei 颁发了没
shangbaoqian 上报前
xiangjilai 想寄来
xuehualao 雪花酪
