mao'ban'fa	冇办法
mao'wen'ti	冇问题
luo'li'luo'suo	啰哩啰唆
luo'li'luo'suo	啰哩啰嗦
de'se'a	嘚瑟啊
de'se'ba'ni	嘚瑟吧你
de'se'de	嘚瑟的
de'se'le	嘚瑟了
de'se'ne	嘚瑟呢
de'se'sha	嘚瑟啥
de'se'yang	嘚瑟样
de'se'yi'hui	嘚瑟一会
diao'bao'tian	屌爆天
diao'bu'diao	屌不屌
diao'si'a	屌丝啊
diao'si'de'ji'mo	屌丝的寂寞
den'fa'ni	扥发你
den'yi'xia	扥一下
den'hui'a	扽会啊
shen'de'huang	瘆的慌
a'li'a'li	阿里阿里
a'li'wang	阿里旺
a'ma'de	阿妈的
e'mi'tuo'fu	阿弥托福
a'yi'gu'li	阿姨鼓励
a'yi'ma	阿姨吗
ai'ji'ba	埃及吧
ai'bu'liao	挨不了
ai'bu'shang	挨不上
ai'bu'zhu	挨不住
ai'bu'zhao	挨不着
ai'da'de	挨打的
ai'da'le	挨打了
ai'de'jin	挨得近
ai'guo'da	挨过打
ai'ma'a	挨骂啊
ai'ma'de	挨骂的
ai'ma'le	挨骂了
ai'ma'ya	挨骂呀
ai'pi'le	挨批了
ai'pi'ping	挨批评
ai'qi'fu	挨欺负
ai'qian'dao	挨千刀
ai'shou'shi	挨收拾
ai'yi'dao	挨一刀
ai'yi'xia	挨一下
ai'zhe'de	挨着的
ai'zhe'ne	挨着呢
ai'zhe'wo	挨着我
ai'zou'le	挨揍了
ai'bu'cuo	哎不错
ai'bu'dui	哎不对
ai'bu'shuo'le	哎不说了
ai'dui'le	哎对了
ai'hao'xin'ku	哎好辛苦
ai'ma'ya	哎妈呀
ai'mei'ban'fa	哎没办法
ai'ni'shuo	哎你说
ai'suan'le	哎算了
ai'wo'cao	哎我操
ai'wo'qu	哎我去
ai'wo'qu'le	哎我去了
ai'wo'shuo	哎我说
ai'wu'yu	哎无语
ai'ya'bu	哎呀不
ai'ya'ha	哎呀哈
ai'ya'ma	哎呀妈
ai'ya'wo'ca	哎呀我擦
ai'ya'wo'cao	哎呀我操
ai'ya'wo'de'ma'ya	哎呀我的妈呀
ai'ya'wo'qu	哎呀我去
ai'yi'qian	哎以前
ai'you'a	哎哟啊
ai'you'wei	哎哟为
ai'yao'wei	哎吆喂
ai'you'ai	哎呦哎
ai'you'hei	哎呦嘿
ai'you'ma'ya	哎呦妈呀
ai'you'sha	哎呦啥
ai'you'wo'cao	哎呦我操
ai'you'wo'qu	哎呦我去
ai'bu'shuo'le	唉不说了
ai'shang'de	哀伤的
ai'zheng'wan'qi	癌症晚期
ai'duo'le	矮多了
ai'le'dian	矮了点
ai'pang'zi	矮胖子
ai'ni'sha'shi	碍你啥事
ai'ni'shi	碍你事
ai'ni'yan	碍你眼
ai'yu'du'ji	碍于妒忌
ai'ba'ma	爱爸妈
ai'bao'bao	爱宝宝
ai'ben'shi	爱本事
ai'ben'shi'pao'mo	爱本是泡沫
ai'bi'zhi	爱壁纸
ai'bu'ai'ta	爱不爱他
ai'bu'ai'ta	爱不爱她
ai'bu'cuo	爱不错
ai'bu'dui	爱不对
ai'bu'lai	爱不来
ai'bu'le	爱不了
ai'bu'shang	爱不上
ai'chi'bu'chi	爱吃不吃
ai'chi'de	爱吃的
ai'chi'fan	爱吃饭
ai'chi'tang	爱吃糖
ai'chu'fa	爱出发
ai'chu'lai	爱出来
ai'chu'qu	爱出去
ai'cuo'ren	爱错人
ai'da'bu'li'de	爱搭不理的
ai'da'li	爱搭理
ai'da'bu'li'de	爱答不理的
ai'da'shu	爱大叔
ai'de'si'qu'huo'lai	爱得死去活来
ai'de'tai'chi	爱得太迟
ai'de'tai'shen	爱得太深
ai'de'yue'shen	爱得越深
ai'de'hai'yang	爱的海洋
ai'de'jiu'shi	爱的就是
ai'de'qi'xian	爱的期限
ai'de'shi'jie'zhi'you'ni	爱的世界只有你
ai'de'si'qu'huo'lai	爱的死去活来
ai'de'tai'chi	爱的太迟
ai'de'tai'shen	爱的太深
ai'de'wei'dao	爱的味道
ai'de'yue'shen	爱的越深
ai'de'xuan'wo	爱的漩涡
ai'duo'le	爱多了
ai'fa'bu'fa	爱发不发
ai'fu'le'you	爱抚了有
ai'fu'ni	爱抚你
ai'gan'ma	爱干嘛
ai'gan'ma'gan'ma	爱干嘛干嘛
ai'gan'mao	爱感冒
ai'ge'pi	爱个屁
ai'gei'bu'gei	爱给不给
ai'gei'ni	爱给你
ai'gou'wu	爱购物
ai'guan'bu'guan	爱管不管
ai'guo'de	爱国的
ai'guo'bu'hou'hui	爱过不后悔
ai'guo'de	爱过的
ai'guo'de'ni	爱过的你
ai'guo'jiu'hao	爱过就好
ai'guo'ma	爱过吗
ai'guo'ta	爱过她
ai'hai'zi	爱孩子
ai'hao'a	爱好啊
ai'hao'ma	爱好吗
ai'hao'nv	爱好女
ai'he'shui	爱喝水
ai'hu'ta	爱护它
ai'hua'hua	爱画画
ai'hai'shi	爱还是
ai'huan'bu'huan	爱换不换
ai'hui'bu'hui	爱回不回
ai'ji'jiao	爱计较
ai'jia'ren	爱家人
ai'jia'xiang	爱家乡
ai'jia'bu'jia	爱加不加
ai'jiang'shan	爱江山
ai'jiao'bu'jiao	爱叫不叫
ai'jie'bu'jie	爱接不接
ai'jin'bu'jin	爱进不进
ai'kai'wan'xiao	爱开玩笑
ai'kan'de	爱看的
ai'kan'ni	爱看你
ai'ke'sou	爱咳嗽
ai'ke'yi	爱可以
ai'lai'bu'lai	爱来不来
ai'lao'gong	爱老公
ai'lao'shi	爱老师
ai'lv'you	爱旅游
ai'lv'hu'lv	爱绿护绿
ai'ma'ren	爱骂人
ai'mei'shi	爱美食
ai'na'ge	爱那个
